model,chi2,df,CFI,TLI,RMSEA,n
CFA_satisfaction,0.006844169641762932,0.0,0.9999996803989971,,inf,19768
Stage1_full_sample,253.32347176117594,8.0,0.989976747334584,0.9799534946691679,0.04408997713410636,15776
Stage2_friction_reporters,282.93550762668326,52.0,0.9064056261932539,0.8866068163495192,0.042130831657620854,2503
