lval,op,rval,Estimate,Est. Std,Std. Err,p-value
SATISFACTION,~,transport_access,-0.2572018532740651,-0.12369628893312064,0.045480935770486085,1.5570346123539025e-08
SATISFACTION,~,wayfinding_signage,-0.05489936656894671,-0.010874411242916457,0.10940435667227859,0.6158065387636953
SATISFACTION,~,waiting_crowding,-0.007474754306255072,-0.0023790798910593557,0.06804687057525477,0.9125306027242994
SATISFACTION,~,cleanliness_comfort,-0.22759382492097419,-0.04890412709804911,0.10087238880315195,0.024054669994000966
SATISFACTION,~,opening_hours_availability,-0.4494837807690006,-0.10702205318351009,0.09134082943225615,8.612452528922176e-07
SATISFACTION,~,itinerary_fit_time_cost,-0.34799978323764413,-0.06351024553899012,0.11892515260538152,0.003431209774769295
SATISFACTION,~,accessibility_mobility,0.06049094134514074,0.018257998322015887,0.07201286147869448,0.4009073143810906
SATISFACTION,~,food_amenities_gap,-0.16582987731277776,-0.039484080868991016,0.09108772676160476,0.068675094866252
sat_overall,~,SATISFACTION,1.0,0.8384514848595358,-,-
sat_transport,~,SATISFACTION,0.544333558197075,0.4562780878237089,0.026718285651361275,0.0
sat_product,~,SATISFACTION,0.9882738723037366,0.8285356965738282,0.03850387434758421,0.0
SATISFACTION,~~,SATISFACTION,0.6766597207102976,0.963267579813012,0.035411446523175426,0.0
sat_overall,~~,sat_overall,0.2967718126813111,0.29699910753683967,0.026152774880296253,0.0
sat_product,~~,sat_product,0.31335218180697705,0.31352859950292167,0.02576679648547599,0.0
sat_transport,~~,sat_transport,0.7916177526862151,0.7918103065719397,0.023693119446616385,0.0
