outcome,n,pre_fukui,post_fukui,pre_ishikawa,post_ishikawa,did_estimate,ols_interaction,se_hc1,p_value
transport_satisfaction,51347,4.204144125752782,4.284302180351854,4.165673420738975,4.19115537176133,0.054676103576716706,0.05467610357673236,0.023597127610215707,0.020500133325418612
product_service_sat,103807,4.1449750534568786,4.238122222025464,4.191128506196999,4.321420882669537,-0.03714520790395248,-0.03714520790394436,0.01636488413156159,0.023219001360369824
nps,103806,7.481587075314802,7.884507092135786,8.398238747553815,8.250344471236652,0.5508142931381483,0.5508142931385146,0.03931892580083324,1.3754834273373501e-44
revisit_intent,77106,4.573831775700935,4.572772366290575,4.6025547445255475,4.563280271035411,0.03821506407977715,0.038215064079787565,0.012427374120080555,0.0021045208917725394
