mention_id,review_id,city,poi_name,poi_category,sentence_text,sentence_index,transport_access,wayfinding_signage,english_information_gap,staff_communication,booking_ticketing,waiting_crowding,price_value,cleanliness_comfort,opening_hours_availability,itinerary_fit_time_cost,accessibility_mobility,food_amenities_gap,scenic_value,worthwhile_destination,friendly_service,underpromoted_feature,easy_if_guided,good_for_itinerary_bundle,friction_codes,nudge_codes,all_codes
f9dd617ef6a0_0,f9dd617ef6a0,Fukui,Eiheiji Temple,temple_shrine,Beautiful in green.,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,[],['scenic_value'],['scenic_value']
f9dd617ef6a0_1,f9dd617ef6a0,Fukui,Eiheiji Temple,temple_shrine,We visit this pagoda in the Spring.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
e3cea62c1160_0,e3cea62c1160,Fukui,Eiheiji Temple,temple_shrine,“A peaceful and beautiful temple surrounded by nature.,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,[],['scenic_value'],['scenic_value']
e3cea62c1160_1,e3cea62c1160,Fukui,Eiheiji Temple,temple_shrine,"The atmosphere is calm and serene, and walking through the wooden corridors feels very special.",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
df17c6132ab4_0,df17c6132ab4,Fukui,Eiheiji Temple,temple_shrine,"The temple here is a real working environment so you are surrounded by monks performing their duties, chanting, scurrying from place to place.",0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
df17c6132ab4_1,df17c6132ab4,Fukui,Eiheiji Temple,temple_shrine,The ringing of the bells made it even more special.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
df17c6132ab4_2,df17c6132ab4,Fukui,Eiheiji Temple,temple_shrine,The slippers provided are only small so if you have big feet like me walking around is a bit awkward,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
6ba66c10bdb0_0,6ba66c10bdb0,Fukui,Eiheiji Temple,temple_shrine,"One of the most important Zen temples in Japan, it's worth seeing as it is one of the only ones that have the full traditional layout of seven main buildings still standing; it is still an active site of training (actually the busiest, in terms of the number of trainees going through it, Buddhist temple in Japan - you have to pass an entire administrative building even before getting to the grounds proper), so expect to see plenty of monks around.",0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
6ba66c10bdb0_1,6ba66c10bdb0,Fukui,Eiheiji Temple,temple_shrine,"You can actually feel that this is no museum, and very much an active place of spiritual pursuit Try to visit outside of winter, as when autumn ends some of the buildings get wrapped in plastic in order to protect them from the heavy snowfall of Fukui.",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
6ba66c10bdb0_2,6ba66c10bdb0,Fukui,Eiheiji Temple,temple_shrine,"Truth be told, the trip is worth it just to see the Chokushi-mon (imperial envoy gate), and the inner grounds are just icing on the cake...",2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,[],['worthwhile_destination'],['worthwhile_destination']
88a19e515f13_0,88a19e515f13,Fukui,Eiheiji Temple,temple_shrine,"A incredible place, well worth the ¥700 entrance fee.",0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
88a19e515f13_1,88a19e515f13,Fukui,Eiheiji Temple,temple_shrine,"It's large, peaceful and virtually deserted.",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
88a19e515f13_2,88a19e515f13,Fukui,Eiheiji Temple,temple_shrine,Wandering the grounds is like a scene from a Ghibli film.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
67fd6a4fa507_0,67fd6a4fa507,Fukui,Eiheiji Temple,temple_shrine,Daihonzan Eiheiji is a vast complex for zen teachings situated in Fukui.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
67fd6a4fa507_1,67fd6a4fa507,Fukui,Eiheiji Temple,temple_shrine,I arrived there early winter last December but was surprised to still see the moss-covered surroundings.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
67fd6a4fa507_2,67fd6a4fa507,Fukui,Eiheiji Temple,temple_shrine,The place is very serene although timing in terms of transportation needs to be considered because of its limited schedule.,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,['transport_access'],[],['transport_access']
6b3a239812d5_0,6b3a239812d5,Fukui,Eiheiji Temple,temple_shrine,One of the most breathtaking spiritual complex in the country.,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,[],['scenic_value'],['scenic_value']
6b3a239812d5_1,6b3a239812d5,Fukui,Eiheiji Temple,temple_shrine,"As a Buddhist temple, the visitor's area is mainly indoor.",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
305136408510_0,305136408510,Fukui,Eiheiji Temple,temple_shrine,The most beautiful temple we visited on our trip.,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,[],['scenic_value'],['scenic_value']
305136408510_1,305136408510,Fukui,Eiheiji Temple,temple_shrine,It has such a calm and peaceful feeling.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
305136408510_2,305136408510,Fukui,Eiheiji Temple,temple_shrine,"There’s so much to see, and you can also just sit and enjoy the quiet surroundings.",2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
305136408510_3,305136408510,Fukui,Eiheiji Temple,temple_shrine,"We went at the end of March and there was still snow, which made it even more special.",3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
305136408510_4,305136408510,Fukui,Eiheiji Temple,temple_shrine,Loved it and would definitely recommend visiting.,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
b8732613fc1a_0,b8732613fc1a,Fukui,Fukui Dinosaur Museum,museum_cultural,"Entry price ticket for adult is 1,200Yen.",0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
b8732613fc1a_1,b8732613fc1a,Fukui,Fukui Dinosaur Museum,museum_cultural,The museum is kindly wide.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
b8732613fc1a_2,b8732613fc1a,Fukui,Fukui Dinosaur Museum,museum_cultural,Take time around 1 hour for walk around.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
b8732613fc1a_3,b8732613fc1a,Fukui,Fukui Dinosaur Museum,museum_cultural,Inside there is content a lot about Dinosaur.,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
b8732613fc1a_4,b8732613fc1a,Fukui,Fukui Dinosaur Museum,museum_cultural,For me these things is wonderful for take me back to see the past of the planet.,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
b8732613fc1a_5,b8732613fc1a,Fukui,Fukui Dinosaur Museum,museum_cultural,Some fossil is the real one.,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
