transport_mode,friction_code,count,n_respondents,pct_of_respondents
transport_in_fukui_route_bus,transport_access,645,4112,15.69
transport_in_fukui_route_bus,wayfinding_signage,27,4112,0.66
transport_in_fukui_route_bus,language_information_gap,7,4112,0.17
transport_in_fukui_route_bus,staff_communication,11,4112,0.27
transport_in_fukui_route_bus,booking_ticketing,25,4112,0.61
transport_in_fukui_route_bus,waiting_crowding,138,4112,3.36
transport_in_fukui_route_bus,price_value,22,4112,0.54
transport_in_fukui_route_bus,cleanliness_comfort,69,4112,1.68
transport_in_fukui_route_bus,opening_hours_availability,97,4112,2.36
transport_in_fukui_route_bus,itinerary_fit_time_cost,40,4112,0.97
transport_in_fukui_route_bus,accessibility_mobility,55,4112,1.34
transport_in_fukui_route_bus,food_amenities_gap,47,4112,1.14
transport_in_fukui_walk,transport_access,191,4480,4.26
transport_in_fukui_walk,wayfinding_signage,36,4480,0.8
transport_in_fukui_walk,language_information_gap,1,4480,0.02
transport_in_fukui_walk,staff_communication,9,4480,0.2
transport_in_fukui_walk,booking_ticketing,12,4480,0.27
transport_in_fukui_walk,waiting_crowding,52,4480,1.16
transport_in_fukui_walk,price_value,12,4480,0.27
transport_in_fukui_walk,cleanliness_comfort,45,4480,1.0
transport_in_fukui_walk,opening_hours_availability,51,4480,1.14
transport_in_fukui_walk,itinerary_fit_time_cost,13,4480,0.29
transport_in_fukui_walk,accessibility_mobility,40,4480,0.89
transport_in_fukui_walk,food_amenities_gap,40,4480,0.89
transport_in_fukui_rental_bicycle,transport_access,41,383,10.7
transport_in_fukui_rental_bicycle,wayfinding_signage,4,383,1.04
transport_in_fukui_rental_bicycle,language_information_gap,0,383,0.0
transport_in_fukui_rental_bicycle,staff_communication,0,383,0.0
transport_in_fukui_rental_bicycle,booking_ticketing,1,383,0.26
transport_in_fukui_rental_bicycle,waiting_crowding,6,383,1.57
transport_in_fukui_rental_bicycle,price_value,6,383,1.57
transport_in_fukui_rental_bicycle,cleanliness_comfort,2,383,0.52
transport_in_fukui_rental_bicycle,opening_hours_availability,6,383,1.57
transport_in_fukui_rental_bicycle,itinerary_fit_time_cost,0,383,0.0
transport_in_fukui_rental_bicycle,accessibility_mobility,6,383,1.57
transport_in_fukui_rental_bicycle,food_amenities_gap,7,383,1.83
