municipality,friction_code,count,n_respondents,pct_of_respondents
鯖江市,english_information_gap,0,2080,0.0
鯖江市,staff_communication,3,2080,0.14
鯖江市,booking_ticketing,4,2080,0.19
鯖江市,waiting_crowding,27,2080,1.3
鯖江市,price_value,3,2080,0.14
鯖江市,cleanliness_comfort,12,2080,0.58
鯖江市,opening_hours_availability,21,2080,1.01
鯖江市,itinerary_fit_time_cost,4,2080,0.19
鯖江市,accessibility_mobility,20,2080,0.96
鯖江市,food_amenities_gap,6,2080,0.29
,transport_access,5,335,1.49
,wayfinding_signage,4,335,1.19
,english_information_gap,0,335,0.0
,staff_communication,0,335,0.0
,booking_ticketing,0,335,0.0
,waiting_crowding,4,335,1.19
,price_value,2,335,0.6
,cleanliness_comfort,3,335,0.9
,opening_hours_availability,4,335,1.19
,itinerary_fit_time_cost,1,335,0.3
,accessibility_mobility,8,335,2.39
,food_amenities_gap,1,335,0.3
